STATE_UT_NAME,DISTRICT,ANNUAL
HIMACHAL,BILASPUR,1197.2
HIMACHAL,CHAMBA,1997.1
HIMACHAL,KANGRA,2019.8
HIMACHAL,KINNAUR,836.4
HIMACHAL,KULLU,1088.1
HIMACHAL,LAHUL & SPITI,1248.8
HIMACHAL,MANDI,1506.9
HIMACHAL,HAMIRPUR,1428.2
HIMACHAL,SHIMLA,1041.4
HIMACHAL,SIRMAUR,1618.3
HIMACHAL,SOLAN,1366.2
HIMACHAL,UNA,1110.7
JAMMU AND KASHMIR,ANANTNAG,969.6
JAMMU AND KASHMIR,BARAMULLA,1132.0
JAMMU AND KASHMIR,DODA,1335.5
JAMMU AND KASHMIR,JAMMU,1211.3
JAMMU AND KASHMIR,KATHUA,1268.2
JAMMU AND KASHMIR,LADAKH (LEH),94.6
JAMMU AND KASHMIR,UDHAMPUR,1973.9
JAMMU AND KASHMIR,BADGAM,671.7
JAMMU AND KASHMIR,KUPWARA,1132.7
JAMMU AND KASHMIR,PULWAMA,504.6
JAMMU AND KASHMIR,SRINAGAR,673.6
JAMMU AND KASHMIR,KARGIL,223.3
JAMMU AND KASHMIR,POONCH,1474.1
JAMMU AND KASHMIR,RAJOURI,957.2
JAMMU AND KASHMIR,BANDIPORE,700.4
JAMMU AND KASHMIR,GANDERWAL,673.6
JAMMU AND KASHMIR,KULGAM/(ANT),878.9
JAMMU AND KASHMIR,SHOPAN,818.7
JAMMU AND KASHMIR,SAMBA,1211.3
JAMMU AND KASHMIR,KISTWAR,1335.5
JAMMU AND KASHMIR,REASI,1796.5
JAMMU AND KASHMIR,RAMBAN(DDA),1328.4
RAJASTHAN,BARMER,268.6
RAJASTHAN,BIKANER,274.0
RAJASTHAN,CHURU,369.6
RAJASTHAN,SRI GANGANAGA,252.9
RAJASTHAN,JAISALMER,181.2
RAJASTHAN,JALORE,427.1
RAJASTHAN,JODHPUR,308.1
RAJASTHAN,NAGAUR,394.1
RAJASTHAN,PALI,485.7
RAJASTHAN,HANUMANGARH,301.6
RAJASTHAN,AJMER,462.2
RAJASTHAN,ALWAR,630.9
RAJASTHAN,BANSWARA,883.0
RAJASTHAN,BHARATPUR,621.1
RAJASTHAN,BHILWARA,630.2
RAJASTHAN,BUNDI,705.6
RAJASTHAN,CHITTORGARH,765.3
RAJASTHAN,DUNGARPUR,677.8
RAJASTHAN,JAIPUR,577.2
RAJASTHAN,JHALAWAR,920.2
RAJASTHAN,JHUNJHUNU,481.0
RAJASTHAN,KOTA,807.9
RAJASTHAN,SAWAI MADHOPUR,721.0
RAJASTHAN,SIKAR,463.8
RAJASTHAN,SIROHI,913.4
RAJASTHAN,TONK,613.9
RAJASTHAN,UDAIPUR,639.7
RAJASTHAN,DHOLPUR,722.1
RAJASTHAN,BARAN,852.7
RAJASTHAN,DAUSA,674.8
RAJASTHAN,RAJSAMAND,554.5
RAJASTHAN,KARAULI,696.2
RAJASTHAN,PRATAPGARH(CHT,915.3
MADHYA PRADESH,BETUL,1028.8
MADHYA PRADESH,VIDISHA,1084.8
MADHYA PRADESH,BHIND,763.4
MADHYA PRADESH,DATIA,860.2
MADHYA PRADESH,DEWAS,1031.4
MADHYA PRADESH,DHAR,886.1
MADHYA PRADESH,GUNA,1028.3
MADHYA PRADESH,GWALIOR,885.9
MADHYA PRADESH,HOSHANGABAD,1392.2
MADHYA PRADESH,INDORE,917.3
MADHYA PRADESH,JHABUA,812.8
MADHYA PRADESH,MANDSAUR,850.1
MADHYA PRADESH,MORENA,777.0
MADHYA PRADESH,KHANDWA,940.0
MADHYA PRADESH,KHARGONE,826.9
MADHYA PRADESH,RAISEN,1200.5
MADHYA PRADESH,RAJGARH,966.7
MADHYA PRADESH,RATLAM,947.8
MADHYA PRADESH,SEHORE,1152.6
MADHYA PRADESH,SHAJAPUR,949.4
MADHYA PRADESH,SHIVPURI,859.4
MADHYA PRADESH,UJJAIN,905.7
MADHYA PRADESH,BHOPAL,1087.7
MADHYA PRADESH,HARDA,1128.3
MADHYA PRADESH,NEEMUCH,813.8
MADHYA PRADESH,SHEOPUR,791.9
MADHYA PRADESH,BARWANI,701.2
MADHYA PRADESH,ASHOKNAGAR(GNA,926.7
MADHYA PRADESH,BURHANPUR,889.1
MADHYA PRADESH,ALIRAJPUR(JBA),863.6
MADHYA PRADESH,BALAGHAT,1481.6
MADHYA PRADESH,CHHATARPUR,1081.4
MADHYA PRADESH,CHHINDWARA,1021.6
MADHYA PRADESH,JABALPUR,1192.4
MADHYA PRADESH,MANDLA,1397.0
MADHYA PRADESH,NARSINGHPUR,1146.4
MADHYA PRADESH,PANNA,1171.7
MADHYA PRADESH,REWA,1068.5
MADHYA PRADESH,SAGAR,1192.2
MADHYA PRADESH,SATNA,1056.1
MADHYA PRADESH,SEONI,1191.8
MADHYA PRADESH,SHAHDOL,1109.9
MADHYA PRADESH,SIDHI,1127.0
MADHYA PRADESH,TIKAMGARH,938.5
MADHYA PRADESH,KATNI,1141.1
MADHYA PRADESH,DINDORI,1336.7
MADHYA PRADESH,UMARIA,1235.7
MADHYA PRADESH,DAMOH,1180.6
MADHYA PRADESH,ANUPPUR(SHAHD,1354.5
MADHYA PRADESH,SINGRAULI,921.2
GUJARAT,AHMEDABAD,639.9
GUJARAT,BANASKANTHA,598.4
GUJARAT,BARODA,992.2
GUJARAT,BHARUCH,824.9
GUJARAT,VALSAD,2021.7
GUJARAT,DANGS,2063.0
GUJARAT,KHEDA,850.1
GUJARAT,MEHSANA,692.7
GUJARAT,PANCHMAHALS,959.3
GUJARAT,SABARKANTHA,816.3
GUJARAT,SURAT,1304.7
GUJARAT,GANDHINAGAR,752.7
GUJARAT,NARMADA(BRC),1143.7
GUJARAT,NAVSARI(VSD),1866.4
GUJARAT,ANAND(KHR),834.6
GUJARAT,PATAN(MHSN),539.6
GUJARAT,DAHOD(PNML),903.6
GUJARAT,TAPI(SRT),1536.0
GUJARAT,AMRELI,567.3
GUJARAT,BHAVNAGAR,578.3
GUJARAT,JAMNAGAR,498.0
GUJARAT,JUNAGADH,830.4
GUJARAT,KUTCH,388.8
GUJARAT,RAJKOT,579.1
GUJARAT,SURENDRANAGAR,534.6
GUJARAT,PORBANDAR,716.6
DADAR NAGAR HAVELI,DNH,2374.1
DAMAN AND DUI,DAMAN,2374.1
DAMAN AND DUI,DIU,697.3
MAHARASHTRA,MUMBAI CITY,2257.5
MAHARASHTRA,RAIGAD,3278.9
